Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
MK482396,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-11
MK482397,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-11
MN971595,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2019-01
MN844888,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2019-03
KJ588064,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-02
KJ588063,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-02
KJ588062,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-02
MF737355,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2001-07
MG428703,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-06-01
MG428701,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-06-04
MG428705,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-05-21
MG428702,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-05-11
MG428706,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-05-24
MG428704,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-05-20
MG428699,Human coronavirus NL63,GenBank,complete,Kenya,,Homo sapiens,2010-05-19
MK644602,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-10-20
JQ989269,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2005-12
MK392335,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2010-02
MT820625,Lucheng Rn rat coronavirus,GenBank,complete,China,,Apodemus chevrieri,2015
MT820627,Lucheng Rn rat coronavirus,GenBank,complete,China,,Eothenomys miletus,2014
NC_032730,Lucheng Rn rat coronavirus,RefSeq,complete,China,,Rattus norvegicus,2013
KF294380,Lucheng Rn rat coronavirus,GenBank,complete,China,,Rattus norvegicus,2013
MK644603,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-10-27
KF468752,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-06-19
MK644604,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-11-13
MF281416,Porcine epidemic diarrhea virus,GenBank,complete,South Korea: Kyung Buk,,Sus scrofa,2017-02-21
JX504050,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2004
KT381875,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2015
KU521535,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2015-09-01
KJ778615,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-20
KJ778616,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-20
KM189367,Porcine epidemic diarrhea virus,GenBank,complete,Canada: Ontario,,Sus scrofa,2014-02-04
MG837058,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2017-05-31
MH697599,Rhinolophus bat coronavirus HKU2,GenBank,complete,China,,Sus scrofa,2017-02
MK841494,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-10
MK841495,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-09
MN692771,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-04-24
MN692772,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-04-29
MN692773,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-04-29
MN692774,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-06-03
MN692775,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-07-11
MN692776,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-09-30
MN692777,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-09-30
MN692778,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-10-07
MN692779,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-10-09
MN692780,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014-12-19
MN692781,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2016-02-12
MN692782,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2016-09-23
MN692783,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2016-12-05
MN692784,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2017-01-19
MN692785,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2017-01-19
MN692786,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2017-01-19
MN692787,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2018-01-11
MN692788,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2018-02-02
MN692789,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2018-03-02
MN692790,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2018-05-03
MN692791,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2019-01-30
MN692793,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2019-05-11
MN692792,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2019-01-07
KY007139,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-05-11
KY007140,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-03-02
LT900502,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898433,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898441,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898418,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898445,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT900500,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898417,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898426,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898447,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT897799,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898430,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT900498,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898410,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898431,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898421,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898415,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898427,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT900501,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898440,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898438,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898446,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898425,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898409,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898432,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898423,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898408,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898420,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898443,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898416,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898411,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898412,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898413,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898439,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898414,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT900499,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898444,Porcine epidemic diarrhea virus,GenBank,complete,,,,
MT602520,Porcine epidemic diarrhea virus,GenBank,complete,Spain,,Sus scrofa,2014
LT898436,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT898435,Porcine epidemic diarrhea virus,GenBank,complete,,,,
NC_038861,Alphacoronavirus 1,RefSeq,complete,USA:Indiana,IN,Sus scrofa,
AJ271965,Alphacoronavirus 1,GenBank,complete,USA:Indiana,IN,Sus scrofa,
MW030108,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2018-05
MT820626,Lucheng Rn rat coronavirus,GenBank,complete,China,,Rattus norvegicus,2014
MH891590,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-02-06
MH891587,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-04-19
MH891584,Porcine epidemic diarrhea virus,GenBank,complete,South Korea: Seoul,,Sus scrofa,2018-02-06
MH891585,Porcine epidemic diarrhea virus,GenBank,complete,South Korea: Seoul,,Sus scrofa,2018-02-07
MH891589,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-01-19
MH891586,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-04-18
MH615810,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018-03
MT294722,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018
MT747186,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017-02
MT747187,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017-02
MG605090,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017-02-26
MG605091,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2016-08-09
MT747188,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017-02
MG557844,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017-04
MT199591,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2016-04-08
MK994935,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018-03
MK994936,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018-07
MK994934,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MK994937,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018-10
MT199592,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2018-09-09
KP162057,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-03-15
MW030110,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2018-05
KX064280,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-10-20
MH117940,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-03
KP202848,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2013-03-07
JQ989267,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2006-12
KY019623,Porcine epidemic diarrhea virus,GenBank,complete,Slovenia,,Sus scrofa,2015-11-03
KY019624,Porcine epidemic diarrhea virus,GenBank,complete,Slovenia,,Sus scrofa,2015-11-03
GU937797,Porcine epidemic diarrhea virus,GenBank,complete,,,,
MK702008,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-10
MN692770,Alphacoronavirus 1,GenBank,complete,Spain,,Sus scrofa,2014-05-30
LT545990,Alphacoronavirus 1,GenBank,complete,,,,
MF370205,Rhinolophus bat coronavirus HKU2,GenBank,complete,China: Guangdong,,Sus scrofa,2017
MK644605,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-02-02
GU553361,Alphacoronavirus 1,GenBank,complete,Netherlands,,Feliformia,2007-09-13
GU553362,Alphacoronavirus 1,GenBank,complete,Netherlands,,Feliformia,2007-09-13
KC962433,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2012-05-05
JQ989268,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2006-10
JQ989272,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2010-08
JQ989273,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2010-08
MK636864,Alphacoronavirus 1,GenBank,complete,Turkey,,Canis lupus familiaris,2018-08-21
MK636865,Alphacoronavirus 1,GenBank,complete,Turkey,,Canis lupus familiaris,2018-08-21
JQ989266,Bat coronavirus HKU10,GenBank,complete,Hong Kong,,Chiroptera,2006-12
KX722529,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2015-01-01
KF804028,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-16
DQ010921,Alphacoronavirus 1,GenBank,complete,,,Felis catus,
MK472067,Alphacoronavirus sp.,GenBank,complete,Australia,,,2018
MK472068,Alphacoronavirus sp.,GenBank,complete,Australia,,,2018
MK472069,Alphacoronavirus sp.,GenBank,complete,Australia,,,2018
MK472070,Alphacoronavirus sp.,GenBank,complete,Australia,,,2018
MK472071,Alphacoronavirus sp.,GenBank,complete,Australia,,,2018
KX812523,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-03-30
KX812524,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-08-01
MN165107,Alphacoronavirus 1,GenBank,complete,China: Changsha,,Felis catus,2018-04
NC_035191,Wencheng Sm shrew coronavirus,RefSeq,complete,China,,Suncus murinus,2015
NC_048211,Wencheng Sm shrew coronavirus,RefSeq,complete,China,,Suncus murinus,2015
MH891588,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-02-21
MK577661,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-04
MK577662,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-02
MZ420153,Alphacoronavirus 1,GenBank,complete,Haiti,,Homo sapiens,2017-03-15
JX435319,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825710,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435320,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825711,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
MK409659,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-06-16
MK409657,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-01-31
MK409658,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-02-23
KU664503,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-11-14
KU558701,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-11-14
KT368902,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-12
KT368903,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-12
KT368904,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-12
KT368905,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-12
KT368906,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-12
KT368909,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-01
KT368912,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-01
KT368892,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-06
KT368893,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-06
KT368910,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-01
KT368894,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-06
KT368911,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-01
KT368898,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-11
KT368899,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-11
KT368900,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-11
KT368901,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-11
KT368897,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-10
KT368895,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-10
KT368896,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2014-10
NC_028752,Human coronavirus 229E,RefSeq,complete,Saudi Arabia,,Camelus,2015-03
KT368907,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-03
KT368908,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-03
KT368915,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-03
KT368916,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-03
KT368913,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-04
KT368914,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus,2015-04
KU215419,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
MW248736,Minacovirus mink/NLD/2020/NT_4,GenBank,complete,Netherlands,,Neovison vison,2020-05-05
NC_048216,NL63-related bat coronavirus strain BtKYNL63-9b,RefSeq,complete,Kenya,,Triaenops afer,2010-06-21
NC_046964,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,RefSeq,complete,Italy,,Pipistrellus kuhlii,2015
NC_032107,NL63-related bat coronavirus strain BtKYNL63-9b,RefSeq,complete,Kenya,,Triaenops afer,2010-06-21
NC_028806,Alphacoronavirus 1,RefSeq,complete,Italy,,Sus scrofa,2009-09-04
NC_023760,Mink coronavirus 1,RefSeq,complete,USA: Wisconsin,WI,Neovison vison,1998-01-01
NC_022103,Bat coronavirus CDPHE15,RefSeq,complete,"USA: Boulder County, CO",CO,Myotis lucifugus,2006-08-07
NC_010437,Miniopterus bat coronavirus 1,RefSeq,complete,Hong Kong,,,
NC_010438,Miniopterus bat coronavirus HKU8,RefSeq,complete,Hong Kong,,,
NC_009988,Rhinolophus bat coronavirus HKU2,RefSeq,complete,,,,
NC_009657,Scotophilus bat coronavirus 512,RefSeq,complete,,,,
NC_005831,Human coronavirus NL63,RefSeq,complete,,,,
NC_003436,Porcine epidemic diarrhea virus,RefSeq,complete,,,,
NC_002645,Human coronavirus 229E,RefSeq,complete,,,,
MZ081383,Alphacoronavirus sp.,GenBank,complete,China,,Chaerephon plicatus,2019-07-11
MZ081384,Alphacoronavirus sp.,GenBank,complete,China,,Hipposideros cineraceus,2020-07-29
MZ081385,Alphacoronavirus sp.,GenBank,complete,China,,Myotis muricola,2020-04-18
MZ081386,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus sinicus,2019-10-22
MZ081387,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus malayanus,2020-06-03
MZ081388,Alphacoronavirus sp.,GenBank,complete,China,,Hipposideros larvatus,2020-07-28
MZ081389,Alphacoronavirus sp.,GenBank,complete,China,,Hipposideros larvatus,2019-05-06
MZ081390,Alphacoronavirus sp.,GenBank,complete,China,,Hipposideros pomona,2019-11-07
MZ081391,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus malayanus,2020-07-14
MZ081392,Alphacoronavirus sp.,GenBank,complete,China,,Murina cyclotis,2020-05-25
MZ081393,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus malayanus,2020-05-25
MZ081394,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus malayanus,2020-07-28
MZ081395,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus stheno,2020-04-18
MZ081396,Alphacoronavirus sp.,GenBank,complete,China,,Hipposideros larvatus,2020-05-25
MZ081397,Alphacoronavirus sp.,GenBank,complete,China,,Myotis laniger,2020-06-03
MZ081398,Alphacoronavirus sp.,GenBank,complete,China,,Myotis laniger,2020-04-18
MZ081399,Alphacoronavirus sp.,GenBank,complete,China,,Rhinolophus stheno,2020-07-29
MT239439,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2016
MT239440,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2017-09
MW532103,Human coronavirus 229E,GenBank,complete,China,,Homo sapiens,2017-05-02
MW532104,Human coronavirus 229E,GenBank,complete,China,,Homo sapiens,2017-08-02
MW532105,Human coronavirus 229E,GenBank,complete,China,,Homo sapiens,2017-09-06
MW532106,Human coronavirus 229E,GenBank,complete,China,,Homo sapiens,2009-06-09
MW532107,Human coronavirus 229E,GenBank,complete,China,,Homo sapiens,2009-04-15
MT338517,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,
MT338518,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,
MT683617,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-09
MT490315,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2018
MT490316,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2018
MT906864,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Canis lupus familiaris,2020
MT906865,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Canis lupus familiaris,2020
MT198679,Porcine epidemic diarrhea virus,GenBank,complete,Viet Nam: Hung Yen,,Sus scrofa,2018-02-02
MT303066,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2019-02
MN841671,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2019-02
MT166307,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-05
MT547179,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-01
MT547180,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-01
KU893862,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-10-01
KU893863,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-01-01
KU893864,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-03-01
KU893865,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-03-01
KU893866,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-06-01
KU893867,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-08-01
KU893868,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014-08-01
MT843277,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2013-02
MT843278,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2019-12
MT843279,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2013-02
MT843280,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2019-12
MT090145,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
MT090146,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
MN644470,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015
MN759311,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2019-03-18
MN535736,Mink coronavirus 1,GenBank,complete,Denmark: Hjoerring,,Neovison vison,2015-07
MN535737,Mink coronavirus 1,GenBank,complete,Denmark: Holstebro,,Neovison vison,2015-07
MT039231,Swine acute diarrhea syndrome coronavirus,GenBank,complete,,,Sus scrofa,
MT039232,Swine acute diarrhea syndrome coronavirus,GenBank,complete,,,Sus scrofa,
MN594506,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-03-27
MN315264,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-09-30
MN486588,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-02
MN056942,Porcine epidemic diarrhea virus,GenBank,complete,France,,Sus scrofa domesticus,2019-02
MK071619,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-01-09
MK071620,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-01-29
MK071621,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2014-03-07
MK071622,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2014-03-17
MK071623,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2014-03-16
MK071624,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2014-03-21
MK071625,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-04-27
MK071626,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-05-06
MK071627,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-05-08
MK071628,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-05-20
MK071629,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-05-20
MK071630,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-06-03
MK071631,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-01-06
MK071632,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2017-07-01
MK071633,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-07-03
MK071634,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-07-03
MK071635,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-07-30
MK071636,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-07-29
MK071637,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-08-11
MK071638,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-10-21
MK071639,Porcine epidemic diarrhea virus,GenBank,complete,Colombia,,Sus scrofa,2015-05-05
MK584552,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05
MK862249,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-08
MK673545,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa domesticus,2018-02-27
MN065811,Bat alphacoronavirus,GenBank,complete,Finland: Helsinki,,Myotis brandtii,2016-08-15
MK558089,Porcine epidemic diarrhea virus,GenBank,complete,Philippines: Cagayan,,Sus scrofa,2017-04-04
MN369046,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2018
MK977618,Swine enteric alphacoronavirus,GenBank,complete,China,,Sus scrofa,2018
MN306018,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2018
MN306040,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2019
MN306046,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2019
MK334043,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2018-08-15
MK334044,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2018-07-13
MK334045,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2018-08-14
MK334046,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2018-09-01
MK334047,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2018-07-25
MN037494,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-04-18
MH593900,Porcine epidemic diarrhea virus,GenBank,complete,Hungary,,Sus scrofa,2018-03-20
